Altitude (m),Thrust (N),Drag (N),Gravity (N)
447.4903322740815,[82057.10568749 31028.98018348],[-1956.95833683  -740.0019894 ],[     0. -24525.]
456.25788618837026,[82129.14243939 30712.57761074],[-2006.71972966  -750.42224489],[     0. -24525.]
465.04718872412246,[82198.67869845 30399.28562063],[-2057.04970304  -760.75239224],[     0. -24525.]
473.85694539278825,[82265.78347242 30089.04973084],[-2107.94485988  -770.98952981],[     0. -24525.]
482.6858743022581,[82330.5235311  29781.81693291],[-2159.40179005  -781.13081319],[     0. -24525.]
491.53270595620694,[82392.96350353 29477.53563627],[-2211.41707228  -791.17345442],[     0. -24525.]
500.39618305888314,[82453.16596986 29176.15561499],[-2263.98727597  -801.11472127],[     0. -24525.]
509.27506032513423,[82511.19154829 28877.62795698],[-2317.10896306  -810.95193653],[     0. -24525.]
518.1681042954672,[82567.09897753 28581.90501563],[-2370.77868976  -820.6824772 ],[     0. -24525.]
527.0740931559538,[82620.94519478 28288.94036377],[-2424.99300827  -830.30377384],[     0. -24525.]
535.9918165628002,[82672.78540978 27998.68874959],[-2479.74846844  -839.8133098 ],[     0. -24525.]
544.9200754714057,[82722.67317506 27711.10605475],[-2535.04161944  -849.20862048],[     0. -24525.]
553.8576819697482,[82770.66045255 27426.14925426],[-2590.86901129  -858.48729264],[     0. -24525.]
562.8034591159372,[82816.79767694 27143.77637821],[-2647.22719647  -867.64696365],[     0. -24525.]
571.7562407797845,[82861.13381582 26863.94647519],[-2704.11273137  -876.68532077],[     0. -24525.]
580.7148714882495,[82903.71642688 26586.61957731],[-2761.52217778  -885.60010045],[     0. -24525.]
589.678206274622,[82944.59171235 26311.75666675],[-2819.45210431  -894.38908759],[     0. -24525.]
598.645110531311,[82983.80457077 26039.31964375],[-2877.89908778  -903.05011486],[     0. -24525.]
607.6144598661157,[83021.3986463  25769.27129595],[-2936.85971458  -911.58106196],[     0. -24525.]
616.5851399618563,[83057.41637573 25501.57526904],[-2996.33058195  -919.97985491],[     0. -24525.]
625.5560464392534,[83091.89903323 25236.19603868],[-3056.3082993   -928.24446538],[     0. -24525.]
