Altitude (m),Thrust (N),Drag (N),Gravity (N)
1422.4361068303099,[82883.17981355 -3881.6658411 ],[-21906.27490447   1025.93601251],[     0. -24525.]
1418.360991182132,[82897.95233035 -3978.12277882],[-22044.4292125   1057.8722819],[     0. -24525.]
1414.1760945319666,[82913.15114273 -4074.36102828],[-22183.14399891   1090.08204547],[     0. -24525.]
1409.8811607658697,[82928.77856817 -4170.38414051],[-22322.42336787   1122.5666409 ],[     0. -24525.]
1405.4759357297744,[82944.83691206 -4266.19564763],[-22462.27145906   1155.32742365],[     0. -24525.]
1400.9601672207832,[82961.3284681  -4361.79906317],[-22602.69244767   1188.36576709],[     0. -24525.]
1396.3336049786078,[82978.2555185  -4457.19788235],[-22743.69054441   1221.6830626 ],[     0. -24525.]
1391.5960006771534,[82995.62033434 -4552.39558233],[-22885.26999542   1255.28071973],[     0. -24525.]
1386.7471079162485,[83013.42517583 -4647.39562247],[-23027.4350823    1289.16016622],[     0. -24525.]
1381.7866822135186,[83031.67229258 -4742.20144466],[-23170.19012209   1323.32284821],[     0. -24525.]
1376.714480996403,[83050.3639239  -4836.81647352],[-23313.53946719   1357.77023029],[     0. -24525.]
1371.5302635943144,[83069.50229908 -4931.24411671],[-23457.48750542   1392.50379565],[     0. -24525.]
1366.2337912309415,[83089.08963763 -5025.48776515],[-23602.03865995   1427.52504613],[     0. -24525.]
1360.8248270166926,[83109.1281496 -5119.5507933],[-23747.19738928   1462.83550243],[     0. -24525.]
1355.3031359412803,[83129.62003577 -5213.43655944],[-23892.96818724   1498.43670412],[     0. -24525.]
1349.6684848664465,[83150.56748797 -5307.14840584],[-24039.35558298   1534.33020981],[     0. -24525.]
1343.9206425188288,[83171.97268934 -5400.68965911],[-24186.3641409    1570.51759726],[     0. -24525.]
1338.0593794829635,[83193.83781451 -5494.06363036],[-24333.99846071   1607.00046345],[     0. -24525.]
1332.0844681944307,[83216.16502995 -5587.2736155 ],[-24482.26317733   1643.78042474],[     0. -24525.]
1325.9956829331347,[83238.95649414 -5680.32289545],[-24631.16296093   1680.85911695],[     0. -24525.]
1319.792799816725,[83262.21435784 -5773.21473638],[-24780.70251689   1718.23819546],[     0. -24525.]
1313.4755967941514,[83285.94076433 -5865.95238997],[-24930.8865858    1755.91933536],[     0. -24525.]
1307.0438536393594,[83310.13784964 -5958.5390936 ],[-25081.71994339   1793.90423153],[     0. -24525.]
1300.4973519451191,[83334.80774279 -6050.97807063],[-25233.20740059   1832.19459873],[     0. -24525.]
1293.8358751169912,[83359.95256601 -6143.27253058],[-25385.35380344   1870.79217177],[     0. -24525.]
1287.059208367428,[83385.57443497 -6235.42566939],[-25538.16403313   1909.69870556],[     0. -24525.]
1280.1671387100096,[83411.67545902 -6327.44066963],[-25691.64300593   1948.91597526],[     0. -24525.]
1273.1594549538136,[83438.25774138 -6419.32070072],[-25845.79567321   1988.44577635],[     0. -24525.]
1266.0359476979202,[83465.32337937 -6511.06891914],[-26000.6270214    2028.28992476],[     0. -24525.]
1258.7964093260493,[83492.87446464 -6602.68846868],[-26156.14207199   2068.450257  ],[     0. -24525.]
1251.4406340013318,[83520.91308335 -6694.18248062],[-26312.34588147   2108.92863022],[     0. -24525.]
1243.9684176612125,[83549.4413164  -6785.55407394],[-26469.24354138   2149.72692236],[     0. -24525.]
1236.379558012487,[83578.46123964 -6876.80635555],[-26626.8401782    2190.84703224],[     0. -24525.]
1228.6738545264682,[83607.97492406 -6967.94242051],[-26785.14095339   2232.29087964],[     0. -24525.]
1220.8511084342858,[83637.98443599 -7058.9653522 ],[-26944.15106337   2274.06040549],[     0. -24525.]
1212.9111227223168,[83668.4918373  -7149.87822253],[-27103.87573944   2316.15757187],[     0. -24525.]
1204.853702127745,[83699.4991856  -7240.68409218],[-27264.32024784   2358.58436219],[     0. -24525.]
1196.6786531342532,[83731.00853442 -7331.38601075],[-27425.48988963   2401.3427813 ],[     0. -24525.]
1188.3857839678437,[83763.02193343 -7421.987017  ],[-27587.39000075   2444.43485553],[     0. -24525.]
1179.9749045927883,[83795.54142857 -7512.490139  ],[-27750.02595193   2487.86263287],[     0. -24525.]
1171.4458267077084,[83828.56906229 -7602.89839439],[-27913.4031487    2531.62818303],[     0. -24525.]
1162.798363741783,[83862.10687371 -7693.2147905 ],[-28077.52703135   2575.73359758],[     0. -24525.]
1154.032330851086,[83896.15689879 -7783.4423246 ],[-28242.40307489   2620.18099002],[     0. -24525.]
1145.1475449150505,[83930.72117051 -7873.58398405],[-28408.03678901   2664.9724959 ],[     0. -24525.]
1136.1438245330623,[83965.80171907 -7963.64274651],[-28574.43371809   2710.11027294],[     0. -24525.]
1127.02099002118,[84001.40057202 -8053.62158012],[-28741.59944111   2755.59650113],[     0. -24525.]
1117.7788634089818,[84037.51975447 -8143.52344367],[-28909.53957166   2801.4333828 ],[     0. -24525.]
1108.4172684365399,[84074.16128924 -8233.35128681],[-29078.25975785   2847.62314276],[     0. -24525.]
1098.9360305515218,[84111.32719701 -8323.10805021],[-29247.76568234   2894.16802842],[     0. -24525.]
1089.3349769064166,[84149.0194965  -8412.79666574],[-29418.06306223   2941.07030983],[     0. -24525.]
1079.6139363558877,[84187.24020463 -8502.42005666],[-29589.15764904   2988.33227985],[     0. -24525.]
1069.7727394542517,[84225.99133669 -8591.98113779],[-29761.0552287    3035.95625421],[     0. -24525.]
1059.8112184530814,[84265.27490646 -8681.48281568],[-29933.76162143   3083.94457163],[     0. -24525.]
1049.7292072989349,[84305.09292639 -8770.92798879],[-30107.28268176   3132.29959393],[     0. -24525.]
1039.5265416312088,[84345.44740778 -8860.31954766],[-30281.62429844   3181.02370611],[     0. -24525.]
1029.2030587801166,[84386.34036085 -8949.66037508],[-30456.79239439   3230.11931645],[     0. -24525.]
1018.75859776479,[84427.77379496 -9038.95334626],[-30632.79292665   3279.58885665],[     0. -24525.]
1008.1929992915049,[84469.74971875 -9128.20132899],[-30809.63188632   3329.43478188],[     0. -24525.]
997.5061057520313,[84512.27014022 -9217.40718382],[-30987.31529847   3379.65957092],[     0. -24525.]
986.6977612221062,[84555.33706695 -9306.57376421],[-31165.84922214   3430.26572622],[     0. -24525.]
975.7678114600292,[84598.95250619 -9395.70391672],[-31345.23975019   3481.25577406],[     0. -24525.]
964.7161039053815,[84643.11846504 -9484.80048113],[-31525.49300931   3532.63226456],[     0. -24525.]
953.5424876778675,[84687.83695053 -9573.86629065],[-31706.61515987   3584.39777187],[     0. -24525.]
942.2468135762783,[84733.10996978 -9662.90417202],[-31888.61239591   3636.55489419],[     0. -24525.]
930.8289340775779,[84778.93953016 -9751.91694574],[-32071.49094501   3689.10625393],[     0. -24525.]
919.2887033361102,[84825.32763938 -9840.90742617],[-32255.25706825   3742.05449775],[     0. -24525.]
907.6259771829288,[84872.27630563 -9929.87842171],[-32439.91706007   3795.4022967 ],[     0. -24525.]
895.8406131252473,[ 84919.78753771 -10018.83273496],[-32625.47724823   3849.1523463 ],[     0. -24525.]
883.9324703460112,[ 84967.86334515 -10107.77316285],[-32811.94399371   3903.30736661],[     0. -24525.]
871.9014097035902,[ 85016.50573836 -10196.70249682],[-32999.32369056   3957.87010236],[     0. -24525.]
859.7472937315913,[ 85065.71672868 -10285.62352295],[-33187.62276587   4012.84332301],[     0. -24525.]
847.4699866387926,[ 85115.49832857 -10374.53902214],[-33376.84767964   4068.22982287],[     0. -24525.]
835.0693543091969,[ 85165.85255171 -10463.45177021],[-33567.00492463   4124.03242116],[     0. -24525.]
822.545264302205,[ 85216.7814131 -10552.3645381],[-33758.1010263    4180.25396215],[     0. -24525.]
809.8975858529094,[ 85268.28692915 -10641.28009198],[-33950.14254268   4236.89731517],[     0. -24525.]
797.1261898725064,[ 85320.37111787 -10730.20119343],[-34143.13606423   4293.96537478],[     0. -24525.]
784.2309489488289,[ 85373.03599889 -10819.13059954],[-34337.08821372   4351.46106081],[     0. -24525.]
771.2117373469964,[ 85426.28359363 -10908.07106309],[-34532.00564613   4409.38731844],[     0. -24525.]
758.0684310101853,[ 85480.11592538 -10997.0253327 ],[-34727.89504844   4467.74711832],[     0. -24525.]
744.8009075605167,[ 85534.53501941 -11085.99615291],[-34924.7631396    4526.54345662],[     0. -24525.]
731.409046300063,[ 85589.54290307 -11174.98626442],[-35122.61667026   4585.77935514],[     0. -24525.]
717.8927282119721,[ 85645.14160591 -11263.99840414],[-35321.46242272   4645.45786137],[     0. -24525.]
704.2518359617101,[ 85701.33315973 -11353.03530536],[-35521.30721072   4705.58204858],[     0. -24525.]
690.486253898421,[ 85758.11959875 -11442.09969793],[-35722.15787931   4766.1550159 ],[     0. -24525.]
676.5958680564038,[ 85815.50295964 -11531.1943083 ],[-35924.02130464   4827.1798884 ],[     0. -24525.]
662.5805661567069,[ 85873.48528167 -11620.32185978],[-36126.90439384   4888.65981714],[     0. -24525.]
648.4402376088395,[ 85932.06860674 -11709.48507257],[-36330.8140848    4950.59797928],[     0. -24525.]
634.174773512599,[ 85991.25497954 -11798.68666394],[-36535.75734603   5012.99757816],[     0. -24525.]
619.7840666600154,[ 86051.04644759 -11887.92934837],[-36741.74117641   5075.86184332],[     0. -24525.]
605.2680115374116,[ 86111.44506135 -11977.21583767],[-36948.77260506   5139.19403062],[     0. -24525.]
590.6265043275795,[ 86172.4528743  -12066.54884111],[-37156.85869107   5202.9974223 ],[     0. -24525.]
575.8594429120722,[ 86234.07194303 -12155.93106554],[-37366.00652337   5267.27532701],[     0. -24525.]
560.9667268736107,[ 86296.30432732 -12245.36521557],[-37576.22322044   5332.03107993],[     0. -24525.]
545.9482574986067,[ 86359.1520902  -12334.85399363],[-37787.51593014   5397.26804281],[     0. -24525.]
530.8039377797994,[ 86422.61729809 -12424.40010015],[-37999.89182946   5462.98960402],[     0. -24525.]
515.5336724190075,[ 86486.70202082 -12514.00623367],[-38213.35812428   5529.19917864],[     0. -24525.]
500.1373678299956,[ 86551.40833172 -12603.67509094],[-38427.92204914   5595.90020848],[     0. -24525.]
484.6149321414537,[ 86616.73830771 -12693.40936712],[-38643.59086699   5663.09616217],[     0. -24525.]
468.96627520009207,[ 86682.69402936 -12783.21175582],[-38860.37186893   5730.79053521],[     0. -24525.]
453.191308573848,[ 86749.277581   -12873.08494927],[-39078.27237394   5798.98685001],[     0. -24525.]
437.28994555520694,[ 86816.49105072 -12963.03163844],[-39297.2997286    5867.68865594],[     0. -24525.]
421.2621011646359,[ 86884.33653049 -13053.05451317],[-39517.46130686   5936.89952941],[     0. -24525.]
405.10769215412984,[ 86952.81611623 -13143.15626227],[-39738.76450968   6006.62307385],[     0. -24525.]
388.82663701087006,[ 87021.93190785 -13233.33957364],[-39961.21676479   6076.86291985],[     0. -24525.]
372.41885596099513,[ 87091.68600933 -13323.60713443],[-40184.82552636   6147.62272511],[     0. -24525.]
355.8842709734829,[ 87162.08052878 -13413.96163111],[-40409.59827468   6218.90617453],[     0. -24525.]
339.22280576414437,[ 87233.1175785  -13504.40574964],[-40635.54251587   6290.71698025],[     0. -24525.]
322.43438579972826,[ 87304.79927504 -13594.94217552],[-40862.66578152   6363.05888165],[     0. -24525.]
305.51893830213663,[ 87377.12773928 -13685.573594  ],[-41090.97562838   6435.93564542],[     0. -24525.]
288.4763922527507,[ 87450.10509643 -13776.30269009],[-41320.47963798   6509.35106556],[     0. -24525.]
271.30667839686663,[ 87523.73347614 -13867.13214879],[-41551.18541629   6583.30896343],[     0. -24525.]
254.00972924824111,[ 87598.01501255 -13958.0646551 ],[-41783.10059336   6657.81318777],[     0. -24525.]
236.58547909374627,[ 87672.95184431 -14049.10289421],[-42016.23282293   6732.86761469],[     0. -24525.]
219.0338639981333,[ 87748.54611464 -14140.24955159],[-42250.58978205   6808.47614774],[     0. -24525.]
201.35482180890494,[ 87824.79997142 -14231.50731308],[-42486.17917071   6884.64271788],[     0. -24525.]
183.5482921612958,[ 87901.71556716 -14322.87886505],[-42723.00871138   6961.37128354],[     0. -24525.]
165.61421648336062,[ 87979.29505914 -14414.36689446],[-42961.08614864   7038.66583058],[     0. -24525.]
147.55253800116992,[ 88057.54060937 -14505.97408903],[-43200.41924874   7116.53037231],[     0. -24525.]
129.36320174411233,[ 88136.45438468 -14597.70313729],[-43441.01579915   7194.96894952],[     0. -24525.]
111.04615455030367,[ 88216.03855676 -14689.55672873],[-43682.88360816   7273.98563045],[     0. -24525.]
92.60134507210185,[ 88296.29530216 -14781.53755392],[-43926.03050436   7353.5845108 ],[     0. -24525.]
74.02872378172754,[ 88377.22680239 -14873.64830458],[-44170.4643362    7433.76971373],[     0. -24525.]
55.328242976989806,[ 88458.83524391 -14965.8916737 ],[-44416.19297153   7514.54538981],[     0. -24525.]
36.499856787116514,[ 88541.12281819 -15058.27035568],[-44663.22429707   7595.91571707],[     0. -24525.]
17.543521178688785,[ 88624.09172172 -15150.78704638],[-44911.56621794   7677.88490091],[     0. -24525.]
