Time (s),Altitude (m),Thrust (N),Drag (N),Gravity (N)
31,13440.980510522695,[20634.49152258 35739.98770545],[-3873.2095015  -4844.32338612],[     0. -14715.]
32,14165.769437627565,[19980.38775507 34607.04674671],[-3687.35919297 -4591.67434704],[     0. -14715.]
33,14900.758612998885,[19338.24989807 33494.83135292],[-3499.71381667 -4338.37929368],[     0. -14715.]
34,15645.375423076368,[18708.7422417  32404.49210834],[-3312.08860655 -4086.79233119],[     0. -14715.]
35,16399.06069967195,[18092.43311234 31337.01338312],[-3126.06248356 -3838.93366545],[     0. -14715.]
36,17161.268029412648,[17489.80097222 30293.22389814],[-2942.98863671 -3596.5073657 ],[     0. -14715.]
37,17931.46317017498,[16901.24037662 29273.80704324],[-2764.00760843 -3360.9223231 ],[     0. -14715.]
38,18709.123567417402,[16327.06777084 28279.31091772],[-2590.06210777 -3133.31530277],[     0. -14715.]
39,19493.73796173646,[15767.52711328 27310.15806991],[-2421.91290416 -2914.57517551],[     0. -14715.]
40,20284.806077985122,[15222.79531444 26366.65491783],[-2260.15526782 -2705.36758259],[     0. -14715.]
41,21081.83838579061,[14692.9874839  25449.00083709],[-2105.23552255 -2506.15943323],[     0. -14715.]
42,21884.35592119867,[14178.16197892 24557.29690544],[-1957.46736326 -2317.24276171],[     0. -14715.]
43,22691.890159369214,[13678.32524992 23691.55429532],[-1817.04766547 -2138.75758106],[     0. -14715.]
44,23503.9829286826,[13193.43647886 22851.70230782],[-1684.0715783  -1970.71346425],[     0. -14715.]
45,24320.186357225033,[12723.41200774 22037.59604303],[-1558.54674793 -1813.00966447],[     0. -14715.]
46,25140.06284335318,[12268.1295551  21249.02370326],[-1440.40656543 -1665.45365343],[     0. -14715.]
47,25963.18504284788,[11827.43221934 20485.71352698],[-1329.52237231 -1527.77801339],[     0. -14715.]
48,26789.135866018303,[11401.13226848 19747.34035281],[-1225.71459066 -1399.65566493],[     0. -14715.]
49,27617.508478980646,[10989.01471674 19033.53181451],[-1128.76277175 -1280.71345044],[     0. -14715.]
50,28447.906304185704,[10590.84068945 18343.87416899],[-1038.41457925 -1170.5441227 ],[     0. -14715.]
51,29279.94301608829,[10206.35057824 17677.91776137],[ -954.39374101 -1068.7168113 ],[     0. -14715.]
52,30113.24252862426,[ 9835.26698974 17035.18213224],[-876.40701641 -974.78605604],[     0. -14715.]
53,30947.4389718777,[ 9477.29749154 16415.16077379],[-804.15023687 -888.29950843],[     0. -14715.]
54,31782.17665597471,[ 9132.13716001 15817.32554282],[-737.31348344 -808.80440944],[     0. -14715.]
55,32617.110020827306,[ 8799.47093556 15241.13074011],[-675.58547025 -735.8529552 ],[     0. -14715.]
56,33451.90357086985,[ 8478.97579112 14686.01686636],[-618.65720414 -669.00666267],[     0. -14715.]
57,34286.23179438152,[ 8170.32272064 14151.41406638],[-566.22499136 -607.83984529],[     0. -14715.]
58,35119.779067373915,[ 7873.17855468 13636.74527377],[-517.99286094 -551.9423045 ],[     0. -14715.]
